Nasza-klasa.pl ,"School, college and friends. Popular in Poland ","11,000,000[211] ",Open ,"75,145[212]",
Netlog ,"General. Popular in Europe, Turkey, the Arab World and Canada's Québec province. Formerly known as Facebox and Redbox.[213] ","95,000,000[214] ",Open to people 13 and older ,545[215],
Nexopia ,Canada ,"1,400,000[216] ",Open to people 13 and older [217] ,"25,241[218]",
NGO Post ,"Non-Profit news sharing and networking, mainly in India ","15,000[219] ",Open ,"42,076[220]",
Ning ,Users create their own social websites and social networks ,2005 (Networks 2007) ,Open to people 13 and older ,378[221],
Odnoklassniki ,Connect with old classmates. Popular in Russia and former Soviet republics ,"45,000,000[222] ",Open ,65[223],
Open Diary ,"First online blogging community, founded in 1998 ",1998,"5,000,000[224] ",Open to people 13 and older ,"28,134[225]"
Orkut ,General. Owned by Google Inc. Popular in India and Brazil.[226] ,22 January 2004 ,"100,000,000[227] ","Open to people 18 and older, (Google login) ",319[228]
OUTeverywhere ,Gay/LGBTQ Community ,Open ,"445,440[229]",,
PatientsLikeMe ,"Online community for patients with life-changing illnesses to find other patients like them, share their data with others, and learn more about their condition to improve their outcome. ",2006,"109,587[230] ",Open to people 13 years and up ,"69,514[231]"
Partyflock ,Dutch virtual community for people interested in house music and other electronic dance music ,10 November 2001 ,321125,Open to people 18 years and up ,"16,828[232]"
Pingsta ,Collaborative platform for the world's Internetwork Experts ,"Invite-only, only Internet Experts ","2,533,640[233]",,
Pinterest ,Online pinboard for organizing and sharing things you love ,2011,Open ,38[234],
Plaxo ,Aggregator ,"50,000,000[235] ",Open ,"5,310[236]",
Playfire ,Computer and video games ,Open to people 13 and older ,"38,259[237]",,
Playlist.com ,"General, Music ",Open to people over 13 ,"8,026[238]",,
Plurk ,"Micro-blogging, RSS, updates. Very popular in Taiwan ",Open ,"1,991[239]",,
Poolwo ,Social networking site from India ,7 January 2014 ,"5,305[240] ",Open ,"764,227[241]"
Qapacity ,A business-oriented social networking site and a business directory ,Closed ,"20,640[242]",,
Quechup ,"General, friendship, dating ",2007,Open to those over 16 ,"82,914[243]",
Qzone ,General. In Simplified Chinese; caters for mainland China users ,"480,000,000[244][245] ",Open to the general public ,NA[n 3],
Raptr ,Video games ,Open ,"25,664[246]",,
Ravelry ,Knitting and crochet ,"3,000,000[247] ",Open ,"2,334[248]",
Renren ,Significant site in China. Was known as 校内 (Xiaonei) until August 2009. ,"160,000,000[249] ",Open ,95[250],
ReverbNation.com ,Social network for musician and bands ,"500,000[251] ",Open to people 16 and older ,"1,806[252]",
Ryze ,Business ,"500,000[253] ",Closed ,"71,324[254]",
ScienceStage ,Science-oriented multimedia platform and network for scientists ,Open ,"61,668[255]",,
Sgrouples ,"General, with focus on privacy rights ",16 May 2012 ,Open ,"258,091[256]",
ShareTheMusic ,Music Community. Sharing and listening to music for free and legally ,Open ,"612,429[257]",,
Shelfari ,Books ,11 October 2006 ,Open ,"18,152[258]",
Sina Weibo ,Social microblogging site in Mainland China. ,14 August 2009 ,"300,000,000[259] ",Open ,28[260]
Skoob ,Collaborative social network for Brazilian readers ,2009,"420,000[261] ",Open ,"28,449[262]"
Skyrock ,Social Network in French-speaking world ,"22,000,000[263] ",Open ,710[264],
SocialVibe ,Social Network for Charity ,"435,000[citation needed] ",Open ,"101,364[265]",
Sonico.com ,General. Popular in Latin America and Spanish and Portuguese speaking regions. ,"50,000,000[266][267] ",Open to people 13 and older ,"2,676[268]",
SoundCloud ,Repository of original music pieces and networking. ,"10,000,000[269] ",Open ,299[270],
Spaces ,Russian Social Network targeted to mobile phone users ,Open ,"9,953[271]",,
Stage 32 ,"US-based social network and educational site for creative professionals in film, television and theater ",February 2012 ,175000,"35,382[272]",
Stickam ,Live video streaming and chat. ,"9,000,000[273] ",Closed ,"9,201[274]",
StudiVZ ,"University students, mostly in the German-speaking countries. School students and those out of education sign up via its partner sites schülerVZ and meinVZ. ","17,000,000[275] ",Open ,"7,080[276]",
Students Circle Network ,"A Social Network connecting students, teachers and institutions to course resources, study groups and learning spaces. ",December 2010 ,Open ,"345,110[277]",
StumbleUpon ,Stumble through websites that match users' selected interests ,"20,000,000[278] ",Open ,146[279],
Tagged ,General. ,October 2004 ,"100,000,000[280] ",Open ,288[281]
Talkbiznow ,Business networking ,Open ,"136,346[282]",,
Taltopia ,Online artistic community ,Open ,"281,501[283]",,
Taringa! ,General (primarily Argentina) ,"11,000,000[284] ",Open to people 13 and older ,214[285],
TeachStreet ,Education / Learning / Teaching - More than 400 subjects ,Open ,"422,704[286]",,
TermWiki ,Learning / Languages / Translation - 1.2m terms in more than 1300 subjects ,May 2010 ,Open ,"22,997[287]",
The Sphere ,A Private Online Social Luxury Network with Exclusive Personalized Services ,December 2008 ,"1,300[288] ",Invite-only ,"1,115,305[289]"
TravBuddy.com ,Travel ,2005,"1,588,000[290] ",Open to people 18 and older ,"21,523[291]"
Travellerspoint ,Travel ,2002,"310,000[292] ",Open ,"15,275[293]"
tribe.net ,General ,Open ,"8,081[294]",,
Trombi.com ,French subsidiary of Classmates.com ,"4,400,000[295] ","16,227[296]",,
Tuenti ,Spanish-based university and High School social network. ,"12,000,000[297] ",Open ,"5,293[298]",
Tumblr ,Microblogging platform and Social Networking Website. ,Open ,32[299],,
Twitter ,"General. Micro-blogging, RSS, updates ",15 July 2006 ,"93,800,000[300] ",Open to all ages [301] ,8[302]
Tylted ,Mobile social game network[303] ,2007,"3,000,000[304] ",Open to people 14 and older ,"737,508[305]"
Vkontakte ,"General, including music upload, listening and search. Popular in Russia and former Soviet republics. ",September 2006 ,"249,409,900[306] ",Open ,38[307]
Vampirefreaks.com ,Gothic and industrial subculture ,1999,"1,931,049[308] ",Open to users 13 and over ,"21,052[309]"
Viadeo ,"Global Social Networking and Campus Networking available in English, French, German, Spanish, Italian and Portuguese ","35,000,000[310] ",Open ,435[311],
Virb ,"Social network that focuses heavily on artists, including musicians and photographers ",2007,Open ,"33,371[312]",
Vox ,Blogging ,Open ,"56,558[313]",,
Wattpad ,For readers and authors to interact & e-book sharing ,Open ,"7,036[314]",,
WAYN ,Travel and lifestyle ,May 2003 ,"10,000,000[315] ",Open to people 18 and older ,"1,367[316]"
WeeWorld ,Teenagers - 9 to 17 ,"30,000,000[317] ",Open to ages 10 and older. ,"18,317[318]",
We Heart It ,"Image-based social network focused on inspiration, expression and creativity ",2008,"20,000,000[319] ",Open ,899[320]
Wellwer ,"Community without borders, where sharing is everything. ",September 2011 ,Open to people 13 years and older ,"370,755[321]",
WeOurFamily ,General with emphasis on privacy and security ,"Open, subscription-based ","3,359,241[322]",,
Wepolls.com ,Social polling network ,Open ,"1,204,376[323]",,
Wer-kennt-wen ,General ,General ,"2,147[324]",,
weRead ,Books ,June 2007 ,"4,000,000[citation needed] ",Open ,"305,720[325]"
Wiser.org ,Online community space for the social justice and environmental movement[326] ,April 2007 ,"71,600[327] ",Open to people 16 and older ,"239,901[328]"
Wooxie ,Blogging and micro-blogging ,Open ,"111,538[329]",,
WriteAPrisoner.com ,"Site networking inmates, friends, family ",September 2000 ,"66,000[330] ",Open to people 18 years and older ,"228,915[331]"
Xanga ,"Blogs and ""metro"" areas ",Unknown ,"27,000,000[332] ",Open ,"3,943[333]"
XING ,"Business (primarily Europe (Germany, Austria, Switzerland)) ","11,100,000[334] ",Open ,270[335],
Xt3 ,"Catholic social networking, created for World Youth Day 2008 ",Open ,"712,292[336]",,
Yammer ,Social networking for office colleagues ,2008,Must have company email ,"3,622[337]",
"Yelp, Inc. ",Local Business Review and Talk ,Open ,186[338],,
Zoo.gr ,Greek Web Meeting point ,2004,"890,000[339] ",Open ,"34,577[340]"
Zooppa ,Online Community for Creative Talent (host of brand sponsored advertising contests) ,"60,000[341] ",Open to people 14 and older[342] ,"36,373[343]",
