jobId,Job Type,State,Start Time,Duration
bquijob_884bc0f_1535d86395d,query,SUCCESS,09 Mar 22:36:31,0:00:01
job_HxCLF_k3l6FDPEE1Yxhv2UYY014,query,SUCCESS,09 Mar 11:19:24,0:00:01
job_UkBJiVShFm4_SPb0Ew7ugnx2lso,query,SUCCESS,09 Mar 10:09:33,0:00:05
bquijob_2dacfc9d_1535ad5d1d5,query,SUCCESS,09 Mar 10:04:36,0:00:06
bquijob_7c9f6adc_1535ad2aafc,query,SUCCESS,09 Mar 10:01:09,0:00:07
bquijob_720506b3_1535ad284ba,query,FAILURE,09 Mar 10:00:59,0:00:01
bquijob_1d863ee9_1535ad259e4,query,FAILURE,09 Mar 10:00:48,0:00:00
bquijob_2b7dbd9a_1535acdf57e,query,SUCCESS,09 Mar 09:56:01,0:00:04
bquijob_67a9b9d7_1535ac2b960,query,SUCCESS,09 Mar 09:43:44,0:00:05
bquijob_3e1863e6_1535ac2412a,query,SUCCESS,09 Mar 09:43:13,0:00:05
bquijob_1cfefda5_1535ac1fc3e,query,SUCCESS,09 Mar 09:42:56,0:00:05
bquijob_156ee121_1535ac15630,query,SUCCESS,09 Mar 09:42:14,0:00:26
bquijob_1e916b95_1535ac093f4,query,SUCCESS,09 Mar 09:41:24,0:00:24
bquijob_ef582ca_1535abe664c,query,SUCCESS,09 Mar 09:39:01,0:00:02
bquijob_481e7312_1535abd4c94,query,SUCCESS,09 Mar 09:37:49,0:00:02
bquijob_2d51e835_153571f50a6,query,SUCCESS,08 Mar 16:46:23,0:00:03
bquijob_39d201b5_153571e7dbf,query,FAILURE,08 Mar 16:45:36,0:00:00
bquijob_37f1b403_153571ce79f,query,SUCCESS,08 Mar 16:43:45,0:00:04
bquijob_23a84bca_153571be09e,query,FAILURE,08 Mar 16:42:40,0:00:00
bquijob_3b90663_153571a1ec0,query,SUCCESS,08 Mar 16:40:43,0:00:03
bquijob_64c6fc04_153571284f8,query,SUCCESS,08 Mar 16:32:26,0:00:08
bquijob_45adeaa5_153570faf4f,query,SUCCESS,08 Mar 16:29:19,0:00:33
