repository_organization,Unnamed: 0,Repos,ReposWhichAreForks,PushEvents,Pushers,FirstPush,LastPush,PushDurationDays,repository_homepages,repository_owners,repository_languages,WatchEvents,ForkEvents,IssuesEvents,IssueCommentEvents,DownloadEvents,PullRequestsClosed,PullRequestsMerged,SO_repos_linked_to,SO_posts_linking_to_orgs_repos,SO_answers_linking_to_orgs_repos,org_created,TempTable,blog,FirstEvent,EarlyEvents,MinsTo20Events,First20_Creates,First20_Forks,First20_Pushes,First20_WatchEvents,First20_IssueEvents,First20_PullRequests,First20_DistinctRepos,First20_OtherEvents,Event20Time,type
,12412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wp-mirrors,wp-mirrors,15.0,0.0,20.0,1.0,1369323319.0,1385109672.0,183.0,15.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-05-02 00:00:00,2.0,http://wp-repository.org/mirrors,,20.0,225.87,12.0,0.0,7.0,0.0,0.0,0.0,10.0,12.0,2013-05-23 19:50:51,3.0
wriiite,wriiite,1.0,0.0,52.0,2.0,1380293531.0,1385394474.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-09-02 00:00:00,1.0,,,20.0,6308.87,2.0,0.0,18.0,0.0,0.0,0.0,1.0,2.0,2013-10-01 21:47:53,1.0
xcommerce,xcommerce,27.0,27.0,518.0,17.0,1331831375.0,1384972145.0,616.0,5.0,1.0,7.0,187.0,85.0,16.0,26.0,0.0,24.0,17.0,0.0,0.0,0.0,2011-07-01 00:00:00,0.0,https://www.x.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
xwiki,xwiki,10.0,1.0,9433.0,16.0,1331520898.0,1385392429.0,624.0,7.0,2.0,2.0,86.0,256.0,0.0,150.0,0.0,165.0,211.0,2.0,7.0,7.0,2010-11-01 00:00:00,0.0,http://xwiki.org/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
yardstick,yardstick,21.0,24.0,122.0,4.0,1333056538.0,1385175951.0,604.0,11.0,1.0,5.0,9.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2009-01-00 00:00:00,0.0,http://GetYardstick.com/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
yaybu,yaybu,8.0,0.0,246.0,2.0,1377782685.0,1384420194.0,77.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2013-08-02 00:00:00,1.0,http://yaybu.com/,,21.0,20008.03,3.0,0.0,15.0,2.0,1.0,0.0,4.0,3.0,2013-09-12 10:52:47,2.0
yipit-cookbooks,yipit-cookbooks,3.0,3.0,14.0,2.0,1374678842.0,1381939178.0,85.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
yogisoftware,yogisoftware,2.0,0.0,59.0,4.0,1358833197.0,1362032559.0,38.0,1.0,1.0,1.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
yomu,yomu,1.0,0.0,23.0,1.0,1363223315.0,1371479205.0,96.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,0.0
zantekk,zantekk,7.0,4.0,69.0,1.0,1350481539.0,1365462771.0,174.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-08-00 00:00:00,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
zehnergroup,zehnergroup,6.0,2.0,22.0,3.0,1343153003.0,1373386681.0,350.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-00 00:00:00,0.0,http://zehnergroup.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
ziften,ziften,1.0,0.0,4.0,1.0,1372195114.0,1384962450.0,148.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-07-01 00:00:00,0.0,http://www.ziften.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
