Database	    NCF 	 Temporary database file, only existing when database is open
Database	    NSF 	 Microsoft Database (Access)
Database	    NTF 	 Microsoft Access project (used for accessing databases on a server)
Database	    NV2 	 Compiled Microsoft Database (Access)
Database	    ODB 	 Microsoft SQL Server Database
Database	    ORA 	 MySQL MyISAM table data
Database	    PDB 	 MySQL MyISAM table index
Database	    PDI 	 Lotus Notes configuration file
Database	    PDX 	 Lotus Notes database
Database	    PRC 	 Lotus Notes database design template
Database	    SQL 	 QW Page NewViews object oriented accounting database
Database	    REC 	 OpenDocument database
Database	    REL 	 Oracle tablespace files sometimes get this extension (also used for configuration files)
Database	    RIN 	 Palm OS Database
Database	    SDB 	 Portable Database Image
Database	    SDF - SQL Compact Database file	 Corel Paradox database management
Database	    UDL 	 Palm OS resource database
Database	    waData - Wakanda (software) database Data file	 bundled SQL queries
Database	    waIndx - Wakanda (software) database Index file	 GNU recutils database
Database	    waModel - Wakanda (software) database Model file	 Sage Retrieve 4GL data file
Database	    waJournal - Wakanda (software) database Journal file	 Sage Retrieve 4GL index file
Database	    WDB 	 StarOffice's StarBase
Database	    WMDB 	
		 Universal Data Link
		
		
Desktop publishing	    AVE / ZAVE 	
Desktop publishing	    CHP / pub / STY / CAP / CIF / VGR / FRM 	
Desktop publishing	    DTP 	 Microsoft Works Database
Desktop publishing	    GDRAW 	 Windows Media Database file 
Desktop publishing	    INDD 	
Desktop publishing	    MCF 	
Desktop publishing	    PMD 	
Desktop publishing	    PPP 	 Aquafadas
Desktop publishing	    PUB 	 Ventura Publisher 
Desktop publishing	    QXD 	 Greenstreet Publisher, GST PressWorks
Desktop publishing	    FM 	 Google Drive Drawing
Desktop publishing	    SLA / SCD 	 Adobe InDesign
Document	Document	 FotoInsight Designer
Document	    ABW 	 Adobe PageMaker
Document	    ACL 	 Serif PagePlus
Document	    AFP 	 Microsoft Publisher
Document	    AMI 	 Quark XPress
Document	    Amigaguide	 Adobe FrameMaker
Document	    ANS 	 Scribus
Document	    ASC 	
Document	    AWW 	
Document	    CCF 	
Document	    CSV 	
Document	    CWK 	
Document	    DBK - DocBook XML sub-format	 Text602 document
Document	    DOC 	 AbiWord Document
Document	    DOCM - Microsoft Word for Mac document	 MS Word AutoCorrect List
Document	    DOCX 	 Advanced Function Presentation 
Document	    DOT 	 Lostus Ami Pro
Document	    DOTX 	
Document	    EGT 	 American National Standards Institute (ANSI) text
Document	    EPUB - EPUB open standard for e-books	 ASCII text
Document	    EZW - Reagency Systems easyOFFER document	 Ability Write
Document	    FDX 	 Color Chat 1.0
Document	    FTM 	 ASCII text as comma-separated values, used in spreadsheets and database management systems
Document	    FTX 	 ClarisWorks / AppleWorks document
Document	    GDOC 	
Document	    HTML 	 Microsoft Word document
Document	    HWP 	
Document	    HWPML 	 Office Open XML document
Document	    LWP 	 Microsoft Word document template
Document	    MBP 	 Office Open XML text document template
Document	    MD 	 EGT Universal Document
Document	    MCW 	
Document	    Mobi 	2
Document	    NB 	 Final Návrh
Document	    NBP 	 Fielded Text Meta
Document	    ODM 	 Fielded Text (Declared)
Document	    ODT 	 Google Drive Document
Document	    OTT 	 HyperText Markup Language (.html, .htm)
Document	    OMM 	 Haansoft (Hancom) Hangul Word Processor document
Document	    PAGES 	 Haansoft (Hancom) Hangul Word Processor Markup Language document
Document	    PAP 	 Lotus Word Pro
Document	    PDAX 	 metadata for Mobipocket documents
Document	    PDF 	 Markdown text document
Document	    Radix-64	 Microsoft Word for Macintosh (versions 4.0
Document	    RTF 	 Mobipocket documents
Document	    QUOX 	 Mathematica Notebook
Document	    RPT 	 Mathematica Player Notebook
Document	    SDW 	 OpenDocument master document
Document	    SE 	 OpenDocument text document
Document	    STW 	 OpenDocument text document template
Document	    Sxw 	
Document	    TeX 	
Document	    INFO 	
Document	    Troff	 OmmWriter text document
Document	    TXT 	 Apple Pages document
Document	    UOF 	 Papyrus word processor document
Document	    UOML 	 Portable Document Archive (PDA) document index file
Document	    VIA 	 Portable Document Format
Document	    WPD 	
Document	    WPS 	 Rich Text document
Document	    WPT 	 Question Object File Format for Quobject Designer or Quobject Explorer
Document	    WRD 	 Crystal Reports
Document	    WRF 	 StarWriter text document, used in earlier versions of StarOffice
Document	    WRI 	 Shuttle Document
Document	    XHTML (xhtml, XHT..) 	 OpenOffice.org XML (obsolete) text document template
Document	    XML 	 OpenOffice.org XML (obsolete) text document
Document	    XPS 	 TeX
Font file	Font file	
Font file	    ABF 	 ASCII nebo Unicode plaintext Text file
Font file	    AFM 	 Uniform Office Format
Font file	    BDF 	 Unique Object Markup Language
Font file	    BMF 	 Revoware VIA Document Project File
Font file	    FNT 	 WordPerfect document
Font file	    FON 	 Microsoft Works document
Font file	    MGF 	 Microsoft Works document template
Font file	    OTF 	 WordIt! document
Font file	    PCF 	 ThinkFree Write
Font file	    PostScript Font 	 Microsoft Write document
Font file	        PFA 	 eXtensible Hyper-Text Markup Language
Font file	        PFB 	 eXtensible Markup Language
Font file	        PFM 	 Open XML Paper Specification
Font file	        AFM 	
Font file	        FOND 	
Font file	    SFD 	
Font file	    SNF 	 Adobe Binary Screen Font
Font file	    TDF 	 Adobe Font Metrics
Font file	    TFM 	 Bitmap Distribution Format
Font file	    TTF (.ttf, .ttc) 	 ByteMap Font Format
Font file	    WOFF 	 Bitmapped Font 
		 Bitmapped Font 
Geographic information system	    ASC - ASCII point of interest (POI) text file	 Portable Compiled Font
Geographic information system	    APR 	 Type 1, Type 2
Geographic information system	    DEM 	 Printer Font ASCII
Geographic information system	    E00 	 Printer Font Binary 
Geographic information system	    GeoTIFF 	 Printer Font Metrics 
