Desktop publishing	    GDRAW 	 Google Drive Drawing
Desktop publishing	    INDD 	 Adobe InDesign
Desktop publishing	    MCF 	 FotoInsight Designer
Desktop publishing	    PMD 	 Adobe PageMaker
Desktop publishing	    PPP 	 Serif PagePlus
Desktop publishing	    PUB 	 Microsoft Publisher
Desktop publishing	    QXD 	 Quark XPress
Desktop publishing	    FM 	 Adobe FrameMaker
Desktop publishing	    SLA / SCD 	 Scribus
Document	    ABW 	 AbiWord Document
Document	    ACL 	 MS Word AutoCorrect List
Document	    AFP 	 Advanced Function Presentation 
Document	    AMI 	 Lostus Ami Pro
Document	    ANS 	 American National Standards Institute (ANSI) text
Document	    ASC 	 ASCII text
Document	    AWW 	 Ability Write
Document	    CCF 	 Color Chat 1.0
Document	    CSV 	 DocBook XML sub-format
Document	    CWK 	 ASCII text as comma-separated values
Document	    DBK	 ClarisWorks / AppleWorks document
Document	    DOC 	 Microsoft Word for Mac document
Document	    DOCM	 Microsoft Word document
Document	    DOCX 	 Office Open XML document
Document	    DOT 	 Microsoft Word document template
Document	    DOTX 	 Office Open XML text document template
Document	    EGT 	 EGT Universal Document
Document	    EPUB	 EPUB open standard for e-books
Document	    EZW	 Reagency Systems easyOFFER document
Document	    FDX 	 Final Návrh
Document	    FTM 	 Fielded Text Meta
Document	    FTX 	 Fielded Text (Declared)
Document	    GDOC 	
Document	    HTML 	 Google Drive Document
Document	    HWP 	 HyperText Markup Language (.html
Document	    HWPML 	 Haansoft (Hancom) Hangul Word Processor document
Document	    LWP 	 Haansoft (Hancom) Hangul Word Processor Markup Language document
Document	    MBP 	 Lotus Word Pro
Document	    MD 	 metadata for Mobipocket documents
Document	    MCW 	 Markdown text document
Document	    Mobi 	 Microsoft Word for Macintosh (versions 4.0
Document	    NB 	 Mobipocket documents
Document	    NBP 	 Mathematica Notebook
Document	    ODM 	 Mathematica Player Notebook
Document	    ODT 	 OpenDocument master document
Document	    OTT 	 OpenDocument text document
Document	    OMM 	 OpenDocument text document template
Document	    PAGES 	 OmmWriter text document
Document	    PAP 	 Apple Pages document
Document	    PDAX 	 Papyrus word processor document
Document	    PDF 	 Portable Document Archive (PDA) document index file
Document	    Radix-64	 Portable Document Format
Document	    RTF 	 Rich Text document
Document	    QUOX 	 Question Object File Format for Quobject Designer or Quobject Explorer
Document	    RPT 	 Crystal Reports
Document	    SDW 	 StarWriter text document
Document	    SE 	 Shuttle Document
Document	    STW 	 XHT..) 
Document	    Sxw 	 OpenOffice.org XML (obsolete) text document
Document	    TeX 	 TeX
Document	    INFO 	
Document	    Troff	 ASCII nebo Unicode plaintext Text file
Document	    TXT 	 Uniform Office Format
Document	    UOF 	 Unique Object Markup Language
Document	    UOML 	 Revoware VIA Document Project File
Document	    VIA 	 WordPerfect document
Document	    WPD 	 Microsoft Works document
Document	    WPS 	 Microsoft Works document template
Document	    WPT 	 WordIt! document
Document	    WRD 	 ThinkFree Write
Document	    WRF 	 Microsoft Write document
Document	    WRI 	 eXtensible Hyper-Text Markup Language
Document	    XHTML (xhtml	 eXtensible Markup Language
Document	    XML 	 Open XML Paper Specification
Document	    XPS 	
Font file	    ABF 	 Adobe Binary Screen Font
Font file	    AFM 	 Adobe Font Metrics
Font file	    BDF 	 Bitmap Distribution Format
Font file	    BMF 	 .ttc) 
Font file	    FNT 	 Bitmapped Font 
Font file	    FON 	
Font file	    MGF 	 Portable Compiled Font
Font file	    OTF 	 Type 1
Font file	    PCF 	 Printer Font ASCII
Font file	2	 Printer Font Binary 
Font file	        PFA 	 Printer Font Metrics 
Font file	        PFB 	 Adobe Font Metrics
Font file	        PFM 	 Font Description resource 
Font file	        AFM 	 FontForge spline font database Font
Font file	        FOND 	 Server Normal Format
Font file	    SFD 	 TheDraw Font
Font file	    SNF 	 TeX font metric
Font file	    TDF 	 TrueType Font
Font file	    TFM 	 Web Open Font Format
Font file	    TTF (.ttf	
Font file	    WOFF 	
Geographic information system	    ASC 	- ASCII point of interest (POI) text file
Geographic information system	    APR 	 ESRI ArcView 3.3 and earlier project file
Geographic information system	    DEM 	 USGS DEM file format
Geographic information system	    E00 	 ARC/INFO interchange file format
Geographic information system	    GeoTIFF 	 Geographically located raster data
Geographic information system	    GML 	 Geography Markup Language file
Geographic information system	    GPX 	 XML-based interchange format
Geographic information system	    MXD 	 ESRI ArcGIS project file
Geographic information system	    OV2	 - TomTom POI overlay file
Geographic information system	    SHP 	
Geographic information system	    TAB 	 3D Topicscape The database in which the meta-data of a 3D Topicscape is held. A 3D Topicscape is a form of 3D concept map (like a 3D mind-map) used to organize ideas
Geographic information system	    World TIFF 	 Linear Reference System.
Geographic information system	    DTED 	
Geographic information system	    KML 	
	 Mind Manager mind map file.	 MindGenius Mind Mapping Software file format.
Graphical information organizers	    3DT 	 FreeMind mind map file (XML).
Graphical information organizers	    ATY 	
Graphical information organizers	    CAG 	 3D Topicscape file
Graphical information organizers	    FES 	
Graphical information organizers	    MGMF 	
Graphical information organizers	    MM 	
Graphical information organizers	    MMP 	
Graphical information organizers	    TPC 	
Graphics	    ACT 	 Adobe Color Table. Contains a raw color palette and consists of 256 24-bit RGB colour values.
Graphics	    PAL 	 Microsoft palette file
Graphics	Raster graphics	
Graphics	Raster (or Bitmap) files store images as a group of pixels.	
Graphics	    ASE 	 Adobe Swatch
Graphics	    ART 	 America Online proprietary format
Graphics	    BMP 	 Microsoft Windows Bitmap formatted image
Graphics	    BLP 	 .ilbm
Graphics	    CD5 	 Chasys Draw IES image
Graphics	    CIT 	 JFIF (.jpg or .jpeg) 
Graphics	    CPT 	 Corel PHOTO-PAINT image
Graphics	    CR2 	" Canon camera raw format. Photos will have this format on some Canon cameras if the quality ""RAW"" is selected in camera settings."
Graphics	    CUT 	 Dr. Halo image file
Graphics	    DDS 	 DirectX texture file
Graphics	    DIB 	 Device-Independent Bitmap graphic
Graphics	    DjVu 	 DjVu for scanned documents
Graphics	    EGT 	 EGT Universal Document
Graphics	    Exif 	 Exchangeable image file format (Exif) is a specification for the image file format used by digital cameras
Graphics	    GIF 	 CompuServe's Graphics Interchange Format
Graphics	    GPL 	 GIMP Palette
Graphics	    GRF 	 Zebra Technologies proprietary format
Graphics	    ICNS 	 file format use for icons in Mac OS X. Contains bitmap images at multiple resolutions and bitdepths with alpha channel.
Graphics	    ICO 	 a file format used for icons in Microsoft Windows. Contains small bitmap images at multiple resolutions and sizes.
Graphics	    IFF (.iff	 ILBM
Graphics	    JNG 	 a single-frame MNG using JPEG compression and possibly an alpha channel.
Graphics	    JPEG	 Deluxe Paint image file
Graphics	    JP2 	 ScanSoft PaperPort document
Graphics	    JPS 	 ImageMagick's native file format
Graphics	    LBM 	 Multiple Network Graphics
Graphics	    MAX 	 a file format used by old versions of Microsoft Paint. Replaced with BMP in Microsoft Windows 3.0
Graphics	    MIFF 	 PCT 
Graphics	    MNG 	 a specification designed by Nokia for black and white images for mobile phones
Graphics	    MSP 	 Portable bitmap
Graphics	    NITF 	 Low resolution
Graphics	    OTA bitmap (Over The Air bitmap) 	 Medium resolution
Graphics	    PBM 	 High resolution
Graphics	    PC1 	 PDD 
Graphics	    PC2 	 a lossless format used by ZSoft's PC Paint
Graphics	    PC3 	
Graphics	    PCF 	
Graphics	    PCX 	
Graphics	    PDN 	 Paint.NET image file
Graphics	    PGM 	 Portable graymap
Graphics	    PI1 	 Low resolution
Graphics	    PI2 	 Medium resolution
Graphics	    PI3 	 RGB
Graphics	    PICT	 .targa
Graphics	    PNG 	 Portable Network Graphic (lossless
Graphics	    PNM 	 Portable anymap graphic bitmap image
Graphics	    PNS 	 PNG Stereo
Graphics	    PPM 	 Portable Pixmap (Pixel Map) image
Graphics	    PSB 	 Adobe Photoshop Big image file (for large files)
Graphics	    PSD	 General term for minimally processed image data (acquired by a digital camera)
Graphics	    PSP 	 a run-length encoded image
Graphics	    PX 	 Scitex Continuous Tone image file
Graphics	    PXM - Pixelmator image file	 Silicon Graphics Image
Graphics	    PXR 	 Truevision TGA (Targa) image
Graphics	    QFX 	 Tagged Image File Format (usually lossless
Graphics	    RAW 	 ISO 12234-2; tends to be used as a basis for other formats rather than in its own right.
Graphics	    RLE 	 Valve Texture Format
Graphics	    SCT 	 X Window System Bitmap
Graphics	    SGI	 GIMP image (from Gimp's origin at the eXperimental Computing Facility of the University of California)
Graphics	    TGA (.tga	 X Window System Pixmap
Graphics	    TIFF (.tif or .tiff) 	
Graphics	    TIFF/EP (.tif or .tiff) 	
Graphics	    VTF 	
Graphics	    XBM 	
Graphics	    XCF 	
Graphics	    3DV 	 3-D wireframe graphics by Oscar Garcia
Graphics	    AMF 	 Additive Manufacturing File Format
Graphics	    AWG 	 Ability Draw
Graphics	    AI 	 Adobe Illustrator Document
Graphics	    CGM 	 Computer Graphics Metafile an ISO Standard
Graphics	    CDR 	 CorelDRAW Document
Graphics	    CMX 	 CorelDRAW vector image
Graphics	    DXF 	 Gravostyle.
Graphics	    E2D 	 2-dimensional vector graphics used by the editor which is included in JFire
Graphics	    EGT 	 EGT Universal Document
Graphics	    EPS 	 Encapsulated Postscript
Graphics	    FS - FlexiPro file	
Graphics	    GBR 	
Graphics	    ODG 	 Stereo Lithographic data format (see STL (file format)) used by various CAD systems and stereo lithographic printing machines. See above.
Graphics	        MOVIE.BYU	 Virtual Reality Modeling Language
Graphics	        RenderMan	
Graphics	    SVG 	 OpenOffice.org XML (obsolete) Drawing
Graphics	    Scene description languages (3D vector image formats)	 voucher design used by the voucher management included in JFire
Graphics	        STL 	
Graphics	        VRML Uses .wrl extension 	 Windows Meta File
Graphics	        X3D	 Enhanced (Windows) MetaFile
Graphics	    SXD 	 Xara 
Graphics	    V2D 	 Xara 
Graphics	    VND - Vision numeric Drawing file used in TypeEdit	
Graphics	    WMF 	 EGT Vector Draw images are used to draw vector to a website
Graphics	    EMF 	
Graphics	    ART 	
Graphics	    XAR 	 QuickDraw 3D Metafile (.3dmf)
Graphics	    3DMF 	 OpenNURBS Initiative 3D Model (used by Rhinoceros 3D) (.3dm)
Graphics	    3DM 	 Legacy 3D Studio Model (.3ds)
Graphics	    3DS 	 Alembic (Computer Graphics)
Graphics	    ABC 	 AC3D Model (.ac)
Graphics	    AC 	 Additive Manufacturing File Format
Graphics	    AMF 	 Anim8or Model (.an8)
Graphics	    AN8 	 Art of Illusion Model (.aoi)
Graphics	    AOI 	 Blitz3D Model (.b3d)
Graphics	    B3D 	 Blender (.blend)
Graphics	    BLEND 	 Blender encrypted blend files (.block)
Graphics	    BLOCK 	 Cinema 4D (.c4d)
Graphics	    C4D 	 Cal3D (.cal3d)
Graphics	    Cal3D 	 X-ray crystallography voxels (electron density)
Graphics	    CCP4 	 Compressed File Library (.cfl)
Graphics	    CFL 	 Caligari Object (.cob)
Graphics	    COB 	 Coreona 3D Coreona 3D Virtual File(.core3d)
Graphics	    CORE3D 	 OpenCTM (.ctm)
Graphics	    CTM 	 COLLADA (.dae)
Graphics	    DAE 	 RenderWare binary stream
Graphics	    DFF 	 deepMesh (.dpm)
Graphics	    DPM 	 Torque Game Engine (.dts)
Graphics	    DTS 	 Panda3D Engine
Graphics	    EGG 	 Electric Image (.fac)
Graphics	    FACT 	 Autodesk FBX (.fbx)
Graphics	    FBX 	 BRL-CAD geometry (.g)
Graphics	    G 	 Ghoul Mesh (.glm)
Graphics	    GLM 	 Cheetah 3D file (.jas)
Graphics	    JAS 	 Lightwave Object (.lwo)
Graphics	    LWO 	 Lightwave Scene (.lws)
Graphics	    LWS 	 Luxology Modo (software) file (.lxo)
Graphics	    LXO 	 Autodesk Maya ASCII File (.ma)
Graphics	    MA 	 Autodesk 3D Studio Max file (.max)
Graphics	    MAX 	 Autodesk Maya Binary File (.mb)
Graphics	    MB 	 Quake 2 model format (.md2)
Graphics	    MD2 	 Quake 3 model format (.md3)
Graphics	    MD3 	 Blizzard Entertainment's own model format (.mdx)
Graphics	    MDX 	 New York University(.m)
Graphics	    MESH 	 Meshwork Model (.mesh)
Graphics	    MESH 	 Misfit Model 3d (.mm3d)
Graphics	    MM3D 	 Multi-Picture Object 
